+----------------+-----+---+---+---+-----+---+---+---+---+----+-----------+---+---+-----+---+-----+---+---+---+---+-----+--------------+---+-----+---+------------+---+---+---+----------+---+---+---+---+-----+---+----+---+---+---+---+---+---+---+----+---+----+---+----------+---+---+---+
| Est/Simb       | A   | 9 | r | v | ;   | l | 2 | a | g | G  | T         | q | h | L   | k | U   | x | 8 | z | o | S   | E            | c | F   | f | =          | 3 | 0 | p | N        | 7 | m | s | e | R   | w | H  | 4 | j | n | t | 6 | i | u | B  | d | I  | b | D        | 1 | 5 | y |
+----------------+-----+---+---+---+-----+---+---+---+---+----+-----------+---+---+-----+---+-----+---+---+---+---+-----+--------------+---+-----+---+------------+---+---+---+----------+---+---+---+---+-----+---+----+---+---+---+---+---+---+---+----+---+----+---+----------+---+---+---+
| S              | -   | Z | V | V | 116 | V | Z | V | V | -  | [91, 104] | V | V | 101 | V | -   | V | Z | V | V | -   | [83, 86, 97] | V | 108 | V | [113, 114] | Z | Z | V | -        | Z | V | V | V | -   | V | -  | Z | V | V | V | Z | V | V | 78 | V | 95 | V | -        | Z | Z | V |
| 78             | -   | - | - | - | -   | - | - | - | - | -  | -         | - | - | -   | - | -   | - | - | - | - | -   | 79           | - | -   | - | -          | - | - | - | -        | - | - | - | - | -   | - | -  | - | - | - | - | - | - | - | -  | - | -  | - | -        | - | - | - |
| 79             | -   | - | - | - | -   | - | - | - | - | 80 | -         | - | - | -   | - | -   | - | - | - | - | -   | -            | - | -   | - | -          | - | - | - | -        | - | - | - | - | -   | - | -  | - | - | - | - | - | - | - | -  | - | -  | - | -        | - | - | - |
| 80             | -   | - | - | - | -   | - | - | - | - | -  | -         | - | - | -   | - | -   | - | - | - | - | -   | -            | - | -   | - | -          | - | - | - | -        | - | - | - | - | -   | - | -  | - | - | - | - | - | - | - | -  | - | 81 | - | -        | - | - | - |
| 81             | -   | - | - | - | -   | - | - | - | - | -  | -         | - | - | -   | - | -   | - | - | - | - | -   | -            | - | -   | - | -          | - | - | - | 82       | - | - | - | - | -   | - | -  | - | - | - | - | - | - | - | -  | - | -  | - | -        | - | - | - |
| 82 *           | -   | - | - | - | -   | - | - | - | - | -  | -         | - | - | -   | - | -   | - | - | - | - | -   | -            | - | -   | - | -          | - | - | - | -        | - | - | - | - | -   | - | -  | - | - | - | - | - | - | - | -  | - | -  | - | -        | - | - | - |
| 89             | -   | - | - | - | -   | - | - | - | - | -  | -         | - | - | -   | - | -   | - | - | - | - | -   | -            | - | 90  | - | -          | - | - | - | -        | - | - | - | - | -   | - | -  | - | - | - | - | - | - | - | -  | - | -  | - | -        | - | - | - |
| 90 *           | -   | - | - | - | -   | - | - | - | - | -  | -         | - | - | -   | - | -   | - | - | - | - | -   | -            | - | -   | - | -          | - | - | - | -        | - | - | - | - | -   | - | -  | - | - | - | - | - | - | - | -  | - | -  | - | -        | - | - | - |
| 92             | -   | - | - | - | -   | - | - | - | - | -  | -         | - | - | -   | - | -   | - | - | - | - | -   | 93           | - | -   | - | -          | - | - | - | -        | - | - | - | - | -   | - | -  | - | - | - | - | - | - | - | -  | - | -  | - | -        | - | - | - |
